Gm,Date,Tm,H_A,Opp,Result,R,RA,Inn,Record,Rank,GB,Win,Loss,Save,Time,D.N,Attendance,cLI,Streak,Orig_Scheduled,Year
1,"Monday, Apr 4",NYM,A,CIN,L-wo,6,7,,0-1,4,1.0,Graves,Looper,,2:44,D,42794,0.97,-1,,2005
2,"Wednesday, Apr 6",NYM,A,CIN,L,5,9,,0-2,5,1.0,Milton,Glavine,,3:19,N,22301,0.9,-2,,2005
3,"Thursday, Apr 7",NYM,A,CIN,L,1,6,,0-3,5,2.0,Harang,Ishii,Graves,2:34,D,16048,0.88,-3,,2005
4,"Friday, Apr 8",NYM,A,ATL,L,1,3,,0-4,5,3.0,Thomson,Zambrano,Kolb,2:44,N,50939,0.97,-4,,2005
5,"Saturday, Apr 9",NYM,A,ATL,L,3,6,,0-5,5,4.0,Bernero,Heilman,,2:52,N,40604,0.89,-5,,2005
6,"Sunday, Apr 10",NYM,A,ATL,W,6,1,,1-5,5,3.0,Martinez,Smoltz,,2:21,D,36601,0.84,1,,2005
7,"Monday, Apr 11",NYM,H,HOU,W,8,4,,2-5,5,3.0,Hernandez,Springer,,3:17,D,53663,0.77,2,,2005
8,"Wednesday, Apr 13",NYM,H,HOU,W-wo,1,0,11,3-5,5,1.5,DeJean,Wheeler,,3:20,N,22431,0.86,3,,2005
9,"Thursday, Apr 14",NYM,H,HOU,W,4,3,,4-5,4,1.5,Matthews,Franco,Looper,3:03,N,17214,0.89,4,,2005
10,"Friday, Apr 15",NYM,H,FLA,W,4,0,,5-5,3,1.0,Heilman,Beckett,,2:21,N,49448,1.05,5,,2005
11,"Saturday, Apr 16",NYM,H,FLA,W-wo,4,3,,6-5,2,1.0,Looper,Mota,,2:46,D,55351,1.05,6,,2005
12,"Sunday, Apr 17",NYM,H,FLA,L,2,5,,6-6,2,2.0,Burnett,Glavine,,2:36,D,55266,1.1,-1,,2005
13,"Monday, Apr 18",NYM,A,PHI,L,4,5,,6-7,5,2.0,Wolf,Ishii,Worrell,2:38,N,25236,1.07,-2,,2005
14,"Tuesday, Apr 19",NYM,A,PHI,W,16,4,,7-7,3,1.0,Zambrano,Padilla,,2:52,N,28063,1.02,1,,2005
15,"Wednesday, Apr 20",NYM,A,FLA,L,2,9,,7-8,3,2.0,Beckett,Heilman,,2:47,N,21339,1.11,-1,,2005
16,"Thursday, Apr 21",NYM,A,FLA,W,10,1,,8-8,3,1.0,Martinez,Leiter,,2:44,N,27674,1.07,1,,2005
17,"Friday, Apr 22",NYM,H,WSN,W,3,1,,9-8,2,1.0,Glavine,Loaiza,Looper,2:44,N,28488,1.1,2,,2005
18,"Saturday, Apr 23",NYM,H,WSN,W,10,5,,10-8,2,1.0,Seo,Ohka,,3:24,D,44058,1.18,3,,2005
19,"Sunday, Apr 24",NYM,H,WSN,L,4,11,,10-9,3,1.0,Hernández,Zambrano,,3:19,D,43313,1.19,-1,,2005
20,"Monday, Apr 25",NYM,H,ATL,W,5,4,,11-9,2,0.5,Heilman,Ramirez,Looper,2:37,N,16874,1.14,1,,2005
21,"Tuesday, Apr 26",NYM,H,ATL,L,3,4,,11-10,3,1.5,Smoltz,Martinez,Foster,2:36,N,31511,1.2,-1,,2005
22,"Wednesday, Apr 27",NYM,H,ATL,L,4,8,,11-11,3,2.0,Hampton,Glavine,,2:43,D,21087,1.15,-2,,2005
23,"Friday, Apr 29",NYM,A,WSN,L,1,5,,11-12,4,3.0,Hernández,Seo,Cordero,2:41,N,30627,1.07,-3,,2005
24,"Saturday, Apr 30",NYM,A,WSN,L &V,3,5,8,11-13,4,4.0,Ohka,Zambrano,Carrasco,2:31,N,40913,1.01,-4,,2005
25,"Sunday, May 1",NYM,A,WSN,W,6,3,,12-13,4,3.0,Hernandez,Ayala,Looper,3:23,N,27333,0.96,1,,2005
26,"Monday, May 2",NYM,H,PHI,W,5,1,,13-13,4,2.5,Martinez,Adams,,2:32,N,16897,0.97,2,,2005
27,"Tuesday, May 3",NYM,H,PHI,L,3,10,,13-14,4,3.5,Myers,Glavine,,2:52,N,17051,1.04,-1,,2005
28,"Wednesday, May 4",NYM,H,PHI,W,3,2,,14-14,4,2.5,Seo,Wolf,Looper,2:24,N,21356,0.96,1,,2005
29,"Thursday, May 5",NYM,H,PHI,W,7,5,,15-14,4,2.5,Heilman,Padilla,Looper,2:57,D,19553,1.01,2,,2005
30,"Friday, May 6",NYM,A,MIL,W,7,4,,16-14,4,2.5,Zambrano,Davis,Looper,2:53,N,21067,1.01,3,,2005
31,"Saturday, May 7",NYM,A,MIL,W,7,5,,17-14,4,2.5,Martinez,Santana,Hernandez,2:47,N,39589,1.04,4,,2005
32,"Sunday, May 8",NYM,A,MIL,L-wo,4,5,,17-15,4,3.5,Turnbow,DeJean,,3:12,D,17626,1.09,-1,,2005
33,"Monday, May 9",NYM,A,CHC,W,7,4,,18-15,4,2.5,DeJean,Hawkins,Looper,3:11,N,37562,1.05,1,,2005
34,"Tuesday, May 10",NYM,A,CHC,L,0,7,,18-16,4,3.5,Maddux,Benson,,2:27,N,38813,1.1,-1,,2005
35,"Wednesday, May 11",NYM,A,CHC,L-wo,3,4,10,18-17,4,3.5,Dempster,Bell,,3:16,D,38475,1.05,-2,,2005
36,"Friday, May 13",NYM,H,STL,W,2,0,,19-17,3,2.5,Glavine,Marquis,Looper,2:10,N,43495,1,1,,2005
37,"Saturday, May 14",NYM,H,STL,L,6,7,,19-18,4,3.5,Tavarez,Hernandez,Isringhausen,3:09,D,40921,1.07,-1,,2005
38,"Sunday, May 15",NYM,H,STL,L,2,4,,19-19,4,4.5,Morris,Heilman,Isringhausen,2:29,D,32949,1.02,-2,,2005
39,"Monday, May 16",NYM,H,CIN,W,9,2,,20-19,4,3.5,Benson,Wilson,,2:33,N,19963,0.9,1,,2005
40,"Tuesday, May 17",NYM,H,CIN,W,2,1,,21-19,4,2.5,DeJean,Ortiz,Looper,2:32,N,28426,0.93,2,,2005
41,"Wednesday, May 18",NYM,H,CIN,W,10,6,,22-19,4,1.5,Glavine,Milton,,3:17,D,26607,1.04,3,,2005
42,"Friday, May 20",NYM,H,NYY,L,2,5,,22-20,4,2.0,Brown,Zambrano,Rivera,3:29,N,55740,1.05,-1,,2005
43,"Saturday, May 21",NYM,H,NYY,W,7,1,,23-20,3,2.0,Benson,Johnson,,2:56,D,55800,1.03,1,,2005
44,"Sunday, May 22",NYM,H,NYY,L,3,5,,23-21,4,3.0,Pavano,Hernandez,Rivera,2:49,D,55953,1.08,-1,,2005
