Gm,Date,Tm,H_A,Opp,Result,R,RA,Inn,Record,Rank,GB,Win,Loss,Save,Time,D.N,Attendance,cLI,Streak,Orig_Scheduled,Year
1,"Thursday, Apr 7",NYM,A,WSN,W,5,1,,1-0,1,up 0.5,Megill,Corbin,,3:31,N,35052,1.04,1,,2022
2,"Friday, Apr 8",NYM,A,WSN,W,7,3,,2-0,1,up 0.5,Scherzer,Gray,,3:43,N,25677,1.06,2,,2022
3,"Saturday, Apr 9",NYM,A,WSN,W,5,0,,3-0,1,up 0.5,Bassitt,Adon,,3:14,N,21369,1.1,3,,2022
4,"Sunday, Apr 10",NYM,A,WSN,L,2,4,,3-1,1,up 0.5,Finnegan,Williams,Rainey,3:01,D,23158,1.12,-1,,2022
5,"Monday, Apr 11",NYM,A,PHI,L,4,5,,3-2,2,0.5,Dominguez,Lugo,Hand,3:05,N,22317,1.15,-2,,2022
6,"Tuesday, Apr 12",NYM,A,PHI,W,2,0,,4-2,1,up 0.5,Megill,Wheeler,Díaz,3:12,N,26045,1.13,1,,2022
7,"Wednesday, Apr 13",NYM,A,PHI,W,9,6,,5-2,1,up 1.5,Scherzer,Nola,,4:04,D,31190,1.15,2,,2022
8,"Friday, Apr 15",NYM,H,ARI,W,10,3,,6-2,1,up 2.5,Bassitt,Davies,,3:24,D,43820,1.14,3,,2022
9,"Saturday, Apr 16",NYM,H,ARI,L,2,3,,6-3,1,up 1.5,Poppen,Rodriguez,Melancon,3:12,D,37935,1.11,-1,,2022
10,"Sunday, Apr 17",NYM,H,ARI,W,5,0,,7-3,1,up 2.5,Shreve,Ramirez,,2:59,D,24515,1.13,1,,2022
11,"Tuesday, Apr 19 (1)",NYM,H,SFG,W-wo,5,4,10,8-3,1,up 3.5,Ottavino,Garcia,,3:33,D,NA,1.14,2,,2022
12,"Tuesday, Apr 19 (2)",NYM,H,SFG,W,3,1,,9-3,1,up 3.5,Scherzer,Webb,May,2:41,D,27490,1.2,3,,2022
13,"Wednesday, Apr 20",NYM,H,SFG,L,2,5,,9-4,1,up 3.5,Rodon,Bassitt,McGee,3:20,N,30050,1.19,-1,,2022
14,"Thursday, Apr 21",NYM,H,SFG,W,6,2,,10-4,1,up 4.0,Carrasco,DeSclafani,,2:35,D,28760,1.17,1,,2022
15,"Friday, Apr 22",NYM,A,ARI,W,6,5,10,11-4,1,up 4.0,Díaz,Melancon,Lugo,3:29,N,20939,1.2,2,,2022
16,"Saturday, Apr 23",NYM,A,ARI,L,2,5,,11-5,1,up 4.0,Castellanos,Williams,Mantiply,3:19,N,25413,1.21,-1,,2022
17,"Sunday, Apr 24",NYM,A,ARI,W,6,2,,12-5,1,up 4.0,Megill,Wendelken,,2:56,D,23570,1.16,1,,2022
18,"Monday, Apr 25",NYM,A,STL,W,5,2,,13-5,1,up 4.5,May,Gallegos,Díaz,3:00,N,35455,1.26,2,,2022
19,"Tuesday, Apr 26",NYM,A,STL,W,3,0,,14-5,1,up 4.5,Bassitt,Hicks,Díaz,3:32,N,32215,1.27,3,,2022
20,"Wednesday, Apr 27",NYM,A,STL,L,5,10,,14-6,1,up 3.5,Woodford,Carrasco,,3:29,D,34822,1.27,-1,,2022
21,"Friday, Apr 29",NYM,H,PHI,W,3,0,,15-6,1,up 3.0,Megill,Nola,Díaz,3:18,N,32416,1.3,1,,2022
22,"Saturday, Apr 30",NYM,H,PHI,L,1,4,,15-7,1,up 2.0,Norwood,Ottavino,Knebel,3:48,N,40036,1.32,-1,,2022
23,"Sunday, May 1",NYM,H,PHI,W,10,6,,16-7,1,up 3.0,Scherzer,Eflin,,3:20,N,30608,1.31,1,,2022
24,"Monday, May 2",NYM,H,ATL,L,2,5,,16-8,1,up 3.0,Fried,Bassitt,Jansen,3:18,N,23413,1.31,-1,,2022
25,"Tuesday, May 3 (1)",NYM,H,ATL,W,5,4,,17-8,1,up 4.5,Peterson,Morton,Díaz,2:49,D,NA,1.28,1,,2022
26,"Tuesday, May 3 (2)",NYM,H,ATL,W,3,0,,18-8,1,up 4.5,Carrasco,Wright,Lugo,2:18,D,27206,1.28,2,,2022
27,"Wednesday, May 4",NYM,H,ATL,L,2,9,,18-9,1,up 4.5,Anderson,Megill,,3:28,D,23973,1.31,-1,,2022
28,"Thursday, May 5",NYM,A,PHI,W,8,7,,19-9,1,up 5.5,Medina,Knebel,Díaz,3:15,N,24040,1.34,1,,2022
29,"Sunday, May 8 (1)",NYM,A,PHI,L,2,3,,19-10,1,up 6.0,Gibson,Scherzer,Knebel,2:58,D,NA,1.26,-1,,2022
30,"Sunday, May 8 (2)",NYM,A,PHI,W,6,1,,20-10,1,up 6.0,Bassitt,Sanchez,,3:15,D,37133,1.29,1,,2022
31,"Tuesday, May 10",NYM,A,WSN,W,4,2,,21-10,1,up 7.0,Carrasco,Edwards,Díaz,3:08,N,21955,1.28,2,,2022
32,"Wednesday, May 11",NYM,A,WSN,L,3,8,,21-11,1,up 6.0,Sanchez,Megill,,3:05,N,19715,1.24,-1,,2022
33,"Thursday, May 12",NYM,A,WSN,W,4,1,,22-11,1,up 6.5,Walker,Adon,,2:45,D,21213,1.27,1,,2022
34,"Friday, May 13",NYM,H,SEA,L,1,2,,22-12,1,up 5.5,Sewald,Smith,Steckenrider,2:56,N,36629,1.2,-1,,2022
35,"Saturday, May 14",NYM,H,SEA,W,5,4,,23-12,1,up 5.5,Ottavino,Munoz,Díaz,3:30,N,37140,1.21,1,,2022
36,"Sunday, May 15",NYM,H,SEA,L,7,8,,23-13,1,up 5.5,Ray,Shreve,Castillo,3:22,D,38476,1.28,-1,,2022
37,"Tuesday, May 17 (1)",NYM,H,STL,W,3,1,,24-13,1,up 6.0,Reed,Mikolas,Díaz,2:54,D,NA,1.32,1,,2022
38,"Tuesday, May 17 (2)",NYM,H,STL,L,3,4,,24-14,1,up 6.0,Helsley,Rodriguez,Gallegos,3:42,D,27457,1.32,-1,,2022
39,"Wednesday, May 18",NYM,H,STL,W,11,4,,25-14,1,up 6.0,Scherzer,Walsh,,3:29,N,32798,1.37,1,,2022
